# id	left	top	right	bottom	texture_id
[SPRITES]
############ SMALL ################
#IDLE LEFT
1	3	17	14	31	0
#IDLE RIGHT
2	507	17	518	31	1

#WALK LEFT
11	20	16	34	31	0
#WALK RIGHT
12	487	16	501	31	1

#JUMP LEFT
21	37	16	52	31	0
#JUMP RIGHT
22	469	16	484	31	1

#BRACE LEFT
31	110	16	123	31	0
#BRACE RIGHT
32	398	16	411	31	1

#CARRY LEFT
41	145	16	158	31	0
#CARRY RIGHT
42	363	16	376	31	1
#CARRY FRONT
43	127	16	142	31	0

#RUN CARRY LEFT
51	163	16	177	31	0
#RUN CARRY RIGHT
52	344	16	358	31	1

#KICK LEFT
61	181	16	196	31	0
#KICK RIGHT
62	325	16	340	31	1

#DIE
70	307	16	322	31	0

#SUPER RUN LEFT 1
80	55	16	70	31	0
#SUPER RUN RIGHT 1
81	451	16	466	31	1
#SUPER RUN LEFT 2
82	73	16	88	31	0
#SUPER RUN RIGHT 2
83	433	16	448	31	1

#PIPE ENTRY
91	127	16	142	31	0

############ MIDDLE ################
#IDLE LEFT
1003	209	132	222	153	0
#IDLE RIGHT
1004	299	132	312	153	1

############ BIG ################
#IDLE LEFT
1001	1	93	14	119	0
#IDLE RIGHT
1002	507	93	520	119	1

#WALK LEFT
1011	19	93	34	119	0
#WALK RIGHT
1012	487	93	502	119	1

#RUN LEFT
1021	37	93	52	118	0
#RUN RIGHT
1022	469	93	484	118	1

#JUMP LEFT
1031	73	93	88	118	0
#JUMP RIGHT
1032	433	93	448	118	1

#SIT LEFT
1041	55	102	68	119	0
#SIT RIGHT
1042	453	102	466	119	1

#BRACE LEFT
1051	195	92	210	119	0
#BRACE RIGHT
1052	311	92	326	119	1

#CARRY LEFT
1061	249	93	262	119	0
#CARRY RIGHT
1062	259	93	272	119	1

#WALK CARRY LEFT
1071	267	93	281	119	0
#WALK CARRY RIGHT
1072	240	93	254	119	1

#RUN CARRY LEFT
